,Country Name,2015,constant_amount,Per Capita
1,Afghanistan,34413603,3017040642,$87.67
2,Angola,27884381,90128934,$3.23
3,Albania,2880703,18128131,$6.29
6,United Arab Emirates,9262900,666982,$0.07
7,Argentina,43131966,1186016,$0.03
8,Armenia,2925553,40634848,$13.89
11,Australia,23815995,10020,$0.00
13,Azerbaijan,9649341,18399735,$1.91
14,Burundi,10160030,56180208,$5.53
16,Benin,10575952,115192229,$10.89
17,Burkina Faso,18110624,56495158,$3.12
18,Bangladesh,156256276,424219558,$2.71
19,Bulgaria,7177991,35163,$0.00
22,Bosnia and Herzegovina,3429361,51935158,$15.14
23,Belarus,9489616,22908864,$2.41
24,Belize,360933,207847,$0.58
25,Bermuda,65237,24098,$0.37
26,Bolivia,10869730,1137101,$0.10
27,Brazil,204471769,12752458,$0.06
28,Barbados,285324,68548,$0.24
30,Bhutan,727876,1476084,$2.03
31,Botswana,2120716,31594826,$14.90
32,Central African Republic,4493170,66808272,$14.87
33,Canada,35702908,14120324,$0.40
35,Switzerland,8282396,184220,$0.02
37,Chile,17969353,1480298,$0.08
39,Cote d'Ivoire,23226143,83432132,$3.59
40,Cameroon,23298368,44389064,$1.91
43,Colombia,47520667,311948930,$6.56
44,Comoros,777424,181329,$0.23
45,Cabo Verde,524743,484112,$0.92
46,Costa Rica,4847804,2622755,$0.54
48,Cuba,11324781,3925084,$0.35
51,Cyprus,1160985,2303533,$1.98
53,Germany,81686611,26776,$0.00
54,Djibouti,913993,3578281,$3.91
55,Dominica,71183,160656,$2.26
57,Dominican Republic,10281680,99358628,$9.66
58,Algeria,39728025,10607710,$0.27
64,Ecuador,16212020,4946707,$0.31
68,Spain,46444832,41862,$0.00
70,Ethiopia,100835458,792668962,$7.86
74,Fiji,868627,34786,$0.04
75,France,66548272,107104,$0.00
78,Gabon,1947686,18729509,$9.62
79,United Kingdom,65116219,64262,$0.00
80,Georgia,3725276,117628149,$31.58
81,Ghana,27849205,361804360,$12.99
83,Guinea,11432088,203227468,$17.78
85,Guinea-Bissau,1737202,3108873,$1.79
86,Equatorial Guinea,1168568,4695390,$4.02
87,Greece,10820883,367049,$0.03
90,Guatemala,15567419,187452986,$12.04
92,Guyana,767432,3557047,$4.63
95,Honduras,9112916,154205063,$16.92
98,Haiti,10695542,605259323,$56.59
99,Hungary,9843028,297391,$0.03
104,Indonesia,258383256,310904156,$1.20
107,India,1310152403,133839854,$0.10
109,Ireland,4701957,2966802,$0.63
111,Iraq,35572261,279062273,$7.84
113,Israel,8380100,8014858,$0.96
115,Jamaica,2891021,20562752,$7.11
116,Jordan,9266575,863060313,$93.14
117,Japan,127141000,3524,$0.00
118,Kazakhstan,17542806,22363100,$1.27
119,Kenya,47878336,1036091403,$21.64
121,Cambodia,15521436,146713343,$9.45
122,Kiribati,110930,107104,$0.97
125,Kuwait,3835591,166272,$0.04
128,Lebanon,6532678,179597016,$27.49
129,Liberia,4472230,1173457321,$262.39
130,Libya,6418315,37181766,$5.79
131,St. Lucia,179126,43349,$0.24
136,Sri Lanka,20970000,36793126,$1.75
139,Lesotho,2059021,36130659,$17.55
141,Lithuania,2904910,66404,$0.02
143,Latvia,1977527,69200,$0.03
146,Morocco,34663603,42144581,$1.22
148,Moldova,2834530,42825060,$15.11
149,Madagascar,24234088,107559668,$4.44
150,Maldives,454915,1416729,$3.11
152,Mexico,121858258,115414146,$0.95
153,Marshall Islands,57439,74482755,"$1,296.73"
156,Mali,17438778,270582838,$15.52
160,Montenegro,622159,118268,$0.19
161,Mongolia,2998439,6985544,$2.33
163,Mozambique,27042002,392351127,$14.51
164,Mauritania,4046301,20224187,$5.00
166,Malawi,16745303,317879815,$18.98
167,Malaysia,30270962,2114613,$0.07
169,Namibia,2314904,53965558,$23.31
171,Niger,20001663,64562289,$3.23
172,Nigeria,181137448,720577624,$3.98
173,Nicaragua,6223240,65640525,$10.55
176,Nepal,27015031,277108639,$10.26
180,Oman,4267348,180161,$0.04
182,Pakistan,199426964,1320607256,$6.62
183,Panama,3968487,863983,$0.22
184,Peru,30470734,115670084,$3.80
185,Philippines,102113212,289671330,$2.84
186,Palau,17665,1299846,$73.58
187,Papua New Guinea,8107775,13895978,$1.71
193,Paraguay,6688746,18163021,$2.72
199,Romania,19815616,-2899,$0.00
201,Rwanda,11369071,311562602,$27.40
203,Saudi Arabia,31717667,160092,$0.01
205,Senegal,14578459,178358540,$12.23
207,Solomon Islands,603118,693900,$1.15
208,Sierra Leone,7171914,245752906,$34.27
209,El Salvador,6325124,80997546,$12.81
211,Somalia,13797201,237624554,$17.22
212,Serbia,7095383,29579593,$4.17
221,Sweden,9799186,94252,$0.01
227,Chad,14110975,29720423,$2.11
230,Togo,7323158,176460,$0.02
231,Thailand,68714511,14080159,$0.20
232,Tajikistan,8454028,49895443,$5.90
233,Turkmenistan,5565287,7829089,$1.41
235,Timor-Leste,1196302,38236339,$31.96
241,Tunisia,11179949,33126001,$2.96
242,Turkey,78529409,1141945,$0.01
243,Tuvalu,11099,106867,$9.63
244,Tanzania,51482633,635881673,$12.35
245,Uganda,38225453,575647512,$15.06
246,Ukraine,45154036,225193438,$4.99
248,Uruguay,3412009,1006784,$0.30
250,Uzbekistan,31298900,24974806,$0.80
255,Vietnam,92677076,149623427,$1.61
256,Vanuatu,271130,3194616,$11.78
258,Samoa,193513,139236,$0.72
261,South Africa,55386367,490227439,$8.85
262,Zambia,15879361,303480708,$19.11
263,Zimbabwe,13814629,228844850,$16.57
