,Country Name,2018,constant_amount
1,Afghanistan,37172386.0,1126304638.0
2,Angola,30809762.0,66193674.0
3,Albania,2866376.0,17707204.0
6,United Arab Emirates,9630959.0,52600.0
7,Argentina,44494502.0,1147451.0
8,Armenia,2951776.0,21802886.0
10,Antigua and Barbuda,96286.0,-92127.0
12,Austria,8840521.0,1498516.0
13,Azerbaijan,9939771.0,12509171.0
14,Burundi,11175378.0,61104119.0
16,Benin,11485048.0,67011514.0
17,Burkina Faso,19751535.0,85895360.0
18,Bangladesh,161356039.0,374749242.0
19,Bulgaria,7025037.0,1198228.0
22,Bosnia and Herzegovina,3323929.0,63420913.0
23,Belarus,9483499.0,11543634.0
24,Belize,383071.0,253300.0
26,Bolivia,11353142.0,-983819.0
27,Brazil,209469333.0,17910507.0
28,Barbados,286641.0,65242.0
30,Bhutan,754394.0,156560.0
31,Botswana,2254126.0,34685874.0
32,Central African Republic,4666377.0,49696761.0
33,Canada,37057765.0,-4649923.0
37,Chile,18729160.0,2353327.0
39,Cote d'Ivoire,25069229.0,110255104.0
40,Cameroon,25216237.0,69032554.0
43,Colombia,49648685.0,307567535.0
45,Cabo Verde,543767.0,160932.0
46,Costa Rica,4999441.0,3611898.0
48,Cuba,11338138.0,2291138.0
54,Djibouti,958920.0,6162056.0
55,Dominica,71625.0,7349952.0
57,Dominican Republic,10627165.0,66605764.0
58,Algeria,42228429.0,1216721.0
64,Ecuador,17084357.0,6406039.0
68,Spain,46797754.0,384280.0
70,Ethiopia,109224559.0,889892211.0
74,Fiji,883483.0,365378.0
78,Gabon,2119275.0,8669120.0
80,Georgia,3726549.0,81676370.0
81,Ghana,29767108.0,270940837.0
83,Guinea,12414318.0,96867470.0
85,Guinea-Bissau,1874309.0,3748998.0
86,Equatorial Guinea,1308974.0,1060788.0
87,Greece,10732882.0,384023.0
90,Guatemala,16346950.0,260857155.0
92,Guyana,779004.0,440449.0
95,Honduras,9587522.0,162796098.0
98,Haiti,11123176.0,365367395.0
104,Indonesia,267663435.0,197071576.0
107,India,1352617328.0,153956219.0
109,Ireland,4867316.0,1519035.0
111,Iraq,38433600.0,662847832.0
113,Israel,8882800.0,1318453.0
115,Jamaica,2934855.0,29237634.0
116,Jordan,9956011.0,472504918.0
117,Japan,126529100.0,290977.0
118,Kazakhstan,18276498.5,16794335.0
119,Kenya,51393010.0,851581766.0
121,Cambodia,16249798.0,130294875.0
128,Lebanon,6848925.0,300712082.0
129,Liberia,4818977.0,190776430.0
130,Libya,6678567.0,127624369.0
136,Sri Lanka,21670000.0,51760330.0
139,Lesotho,2108132.0,79860787.0
146,Morocco,36029138.0,39856233.0
148,Moldova,2706049.0,50790564.0
149,Madagascar,26262368.0,120492636.0
152,Mexico,126190788.0,74139621.0
153,Marshall Islands,58413.0,118108673.0
156,Mali,19077690.0,301435117.0
160,Montenegro,622227.0,70131.0
161,Mongolia,3170208.0,5803096.0
163,Mozambique,29495962.0,453615234.0
164,Mauritania,4403319.0,1694764.0
166,Malawi,18143315.0,405391088.0
167,Malaysia,31528585.0,3089204.0
169,Namibia,2448255.0,42301108.0
171,Niger,22442948.0,93846279.0
172,Nigeria,195874740.0,932347919.0
173,Nicaragua,6465513.0,59760827.0
176,Nepal,28087871.0,234961689.0
178,New Zealand,4841000.0,45873.0
180,Oman,4829483.0,61164.0
182,Pakistan,212215030.0,623207550.0
183,Panama,4176873.0,645943.0
184,Peru,31989256.0,50437630.0
185,Philippines,106651922.0,149097850.0
186,Palau,17907.0,7641208.0
187,Papua New Guinea,8606316.0,8731696.0
192,Portugal,10283822.0,106018.0
193,Paraguay,6956071.0,14353294.0
201,Rwanda,12301939.0,195651052.0
203,Saudi Arabia,33699947.0,17126.0
205,Senegal,15854360.0,234666573.0
206,Singapore,5638676.0,82572.0
207,Solomon Islands,652858.0,674404.0
208,Sierra Leone,7650154.0,64757741.0
209,El Salvador,6420744.0,119670201.0
211,Somalia,15008154.0,325944276.0
212,Serbia,6982604.0,11582970.0
219,Slovak Republic,5446771.0,509699.0
220,Slovenia,2073894.0,305819.0
227,Chad,15477751.0,30356420.0
230,Togo,7889094.0,543153.0
231,Thailand,69428524.0,13757445.0
232,Tajikistan,9100837.0,52617387.0
233,Turkmenistan,5850908.0,4770703.0
235,Timor-Leste,1267972.0,25820307.0
237,Tonga,103197.0,19073.0
241,Tunisia,11565204.0,90162036.0
242,Turkey,82319724.0,25192193.0
244,Tanzania,56318348.0,737412385.0
245,Uganda,42723139.0,678960821.0
246,Ukraine,44622518.0,287611639.0
248,Uruguay,3449299.0,293992.0
250,Uzbekistan,32956100.0,27972348.0
255,Vietnam,95540395.0,124583111.0
256,Vanuatu,292680.0,1062639.0
258,Samoa,196130.0,846927.0
261,South Africa,57779622.0,516434363.0
262,Zambia,17351822.0,347078940.0
263,Zimbabwe,14439018.0,265174736.0
