,Country Code,Country Name,2015,2015 AID
0,ABW,Aruba,104341.0,
1,AFG,Afghanistan,34413603.0,3017040642.0
2,AGO,Angola,27884381.0,90128934.0
3,ALB,Albania,2880703.0,18128131.0
4,AND,Andorra,78011.0,
5,ARB,Arab World,396028278.0,
6,ARE,United Arab Emirates,9262900.0,666982.0
7,ARG,Argentina,43131966.0,1186016.0
8,ARM,Armenia,2925553.0,40634848.0
9,ASM,American Samoa,55812.0,
10,ATG,Antigua and Barbuda,93566.0,
11,AUS,Australia,23815995.0,10020.0
12,AUT,Austria,8642699.0,
13,AZE,Azerbaijan,9649341.0,18399735.0
14,BDI,Burundi,10160030.0,56180208.0
15,BEL,Belgium,11274196.0,
16,BEN,Benin,10575952.0,115192229.0
17,BFA,Burkina Faso,18110624.0,56495158.0
18,BGD,Bangladesh,156256276.0,424219558.0
19,BGR,Bulgaria,7177991.0,35163.0
20,BHR,Bahrain,1371851.0,
21,BHS,"Bahamas, The",374206.0,174902.0
22,BIH,Bosnia and Herzegovina,3429361.0,51935158.0
23,BLR,Belarus,9489616.0,22908864.0
24,BLZ,Belize,360933.0,207847.0
25,BMU,Bermuda,65237.0,24098.0
26,BOL,Bolivia,10869730.0,1137101.0
27,BRA,Brazil,204471769.0,12752458.0
28,BRB,Barbados,285324.0,68548.0
29,BRN,Brunei Darussalam,414907.0,
30,BTN,Bhutan,727876.0,1476084.0
31,BWA,Botswana,2120716.0,31594826.0
32,CAF,Central African Republic,4493170.0,66808272.0
33,CAN,Canada,35702908.0,14120324.0
34,CEB,Central Europe and the Baltics,103257886.0,
35,CHE,Switzerland,8282396.0,184220.0
36,CHI,Channel Islands,165385.0,
37,CHL,Chile,17969353.0,1480298.0
38,CHN,China,1371220000.0,27694879.0
39,CIV,Cote d'Ivoire,23226143.0,83432132.0
40,CMR,Cameroon,23298368.0,44389064.0
41,COD,"Congo, Dem. Rep.",76244544.0,513677799.0
42,COG,"Congo, Rep.",4856095.0,3918510.0
43,COL,Colombia,47520667.0,311948930.0
44,COM,Comoros,777424.0,181329.0
45,CPV,Cabo Verde,524743.0,484112.0
46,CRI,Costa Rica,4847804.0,2622755.0
