,Country Name,2018,constant_amount,Per Capita
1,Afghanistan,37172386,1126304638,$30.30
2,Angola,30809762,66193674,$2.15
3,Albania,2866376,17707204,$6.18
6,United Arab Emirates,9630959,52600,$0.01
7,Argentina,44494502,1147451,$0.03
8,Armenia,2951776,21802886,$7.39
10,Antigua and Barbuda,96286,-92127,-$0.96
12,Austria,8840521,1498516,$0.17
13,Azerbaijan,9939771,12509171,$1.26
14,Burundi,11175378,61104119,$5.47
16,Benin,11485048,67011514,$5.83
17,Burkina Faso,19751535,85895360,$4.35
18,Bangladesh,161356039,374749242,$2.32
19,Bulgaria,7025037,1198228,$0.17
22,Bosnia and Herzegovina,3323929,63420913,$19.08
23,Belarus,9483499,11543634,$1.22
24,Belize,383071,253300,$0.66
26,Bolivia,11353142,-983819,-$0.09
27,Brazil,209469333,17910507,$0.09
28,Barbados,286641,65242,$0.23
30,Bhutan,754394,156560,$0.21
31,Botswana,2254126,34685874,$15.39
32,Central African Republic,4666377,49696761,$10.65
33,Canada,37057765,-4649923,-$0.13
37,Chile,18729160,2353327,$0.13
39,Cote d'Ivoire,25069229,110255104,$4.40
40,Cameroon,25216237,69032554,$2.74
43,Colombia,49648685,307567535,$6.19
45,Cabo Verde,543767,160932,$0.30
46,Costa Rica,4999441,3611898,$0.72
48,Cuba,11338138,2291138,$0.20
54,Djibouti,958920,6162056,$6.43
55,Dominica,71625,7349952,$102.62
57,Dominican Republic,10627165,66605764,$6.27
58,Algeria,42228429,1216721,$0.03
64,Ecuador,17084357,6406039,$0.37
68,Spain,46797754,384280,$0.01
70,Ethiopia,109224559,889892211,$8.15
74,Fiji,883483,365378,$0.41
78,Gabon,2119275,8669120,$4.09
80,Georgia,3726549,81676370,$21.92
81,Ghana,29767108,270940837,$9.10
83,Guinea,12414318,96867470,$7.80
85,Guinea-Bissau,1874309,3748998,$2.00
86,Equatorial Guinea,1308974,1060788,$0.81
87,Greece,10732882,384023,$0.04
90,Guatemala,16346950,260857155,$15.96
92,Guyana,779004,440449,$0.57
95,Honduras,9587522,162796098,$16.98
98,Haiti,11123176,365367395,$32.85
104,Indonesia,267663435,197071576,$0.74
107,India,1352617328,153956219,$0.11
109,Ireland,4867316,1519035,$0.31
111,Iraq,38433600,662847832,$17.25
113,Israel,8882800,1318453,$0.15
115,Jamaica,2934855,29237634,$9.96
116,Jordan,9956011,472504918,$47.46
117,Japan,126529100,290977,$0.00
118,Kazakhstan,18276498.5,16794335,$0.92
119,Kenya,51393010,851581766,$16.57
121,Cambodia,16249798,130294875,$8.02
128,Lebanon,6848925,300712082,$43.91
129,Liberia,4818977,190776430,$39.59
130,Libya,6678567,127624369,$19.11
136,Sri Lanka,21670000,51760330,$2.39
139,Lesotho,2108132,79860787,$37.88
146,Morocco,36029138,39856233,$1.11
148,Moldova,2706049,50790564,$18.77
149,Madagascar,26262368,120492636,$4.59
152,Mexico,126190788,74139621,$0.59
153,Marshall Islands,58413,118108673,"$2,021.96"
156,Mali,19077690,301435117,$15.80
160,Montenegro,622227,70131,$0.11
161,Mongolia,3170208,5803096,$1.83
163,Mozambique,29495962,453615234,$15.38
164,Mauritania,4403319,1694764,$0.38
166,Malawi,18143315,405391088,$22.34
167,Malaysia,31528585,3089204,$0.10
169,Namibia,2448255,42301108,$17.28
171,Niger,22442948,93846279,$4.18
172,Nigeria,195874740,932347919,$4.76
173,Nicaragua,6465513,59760827,$9.24
176,Nepal,28087871,234961689,$8.37
178,New Zealand,4841000,45873,$0.01
180,Oman,4829483,61164,$0.01
182,Pakistan,212215030,623207550,$2.94
183,Panama,4176873,645943,$0.15
184,Peru,31989256,50437630,$1.58
185,Philippines,106651922,149097850,$1.40
186,Palau,17907,7641208,$426.72
187,Papua New Guinea,8606316,8731696,$1.01
192,Portugal,10283822,106018,$0.01
193,Paraguay,6956071,14353294,$2.06
201,Rwanda,12301939,195651052,$15.90
203,Saudi Arabia,33699947,17126,$0.00
205,Senegal,15854360,234666573,$14.80
206,Singapore,5638676,82572,$0.01
207,Solomon Islands,652858,674404,$1.03
208,Sierra Leone,7650154,64757741,$8.46
209,El Salvador,6420744,119670201,$18.64
211,Somalia,15008154,325944276,$21.72
212,Serbia,6982604,11582970,$1.66
219,Slovak Republic,5446771,509699,$0.09
220,Slovenia,2073894,305819,$0.15
227,Chad,15477751,30356420,$1.96
230,Togo,7889094,543153,$0.07
231,Thailand,69428524,13757445,$0.20
232,Tajikistan,9100837,52617387,$5.78
233,Turkmenistan,5850908,4770703,$0.82
235,Timor-Leste,1267972,25820307,$20.36
237,Tonga,103197,19073,$0.18
241,Tunisia,11565204,90162036,$7.80
242,Turkey,82319724,25192193,$0.31
244,Tanzania,56318348,737412385,$13.09
245,Uganda,42723139,678960821,$15.89
246,Ukraine,44622518,287611639,$6.45
248,Uruguay,3449299,293992,$0.09
250,Uzbekistan,32956100,27972348,$0.85
255,Vietnam,95540395,124583111,$1.30
256,Vanuatu,292680,1062639,$3.63
258,Samoa,196130,846927,$4.32
261,South Africa,57779622,516434363,$8.94
262,Zambia,17351822,347078940,$20.00
263,Zimbabwe,14439018,265174736,$18.37
