,Country Code,Country Name,2019,2019 AID,Per Capita
0,ABW,Aruba,106314,,$0.00
1,AFG,Afghanistan,38041754,1306748064,$34.35
2,AGO,Angola,31825295,62478046,$1.96
3,ALB,Albania,2854191,13397587,$4.69
4,AND,Andorra,77142,,$0.00
5,ARB,Arab World,427870270,,$0.00
6,ARE,United Arab Emirates,9770529,,$0.00
7,ARG,Argentina,44938712,668956,$0.01
8,ARM,Armenia,2957731,21011799,$7.10
9,ASM,American Samoa,55312,,$0.00
10,ATG,Antigua and Barbuda,97118,,$0.00
11,AUS,Australia,25364307,,$0.00
12,AUT,Austria,8877067,,$0.00
13,AZE,Azerbaijan,10023318,8341446,$0.83
14,BDI,Burundi,11530580,44579914,$3.87
15,BEL,Belgium,11484055,,$0.00
16,BEN,Benin,11801151,49608215,$4.20
17,BFA,Burkina Faso,20321378,79928341,$3.93
18,BGD,Bangladesh,163046161,259652215,$1.59
19,BGR,Bulgaria,6975761,160915,$0.02
20,BHR,Bahrain,1641172,,$0.00
21,BHS,"Bahamas, The",389482,149886,$0.38
22,BIH,Bosnia and Herzegovina,3301000,38632899,$11.70
23,BLR,Belarus,9466856,7878594,$0.83
24,BLZ,Belize,390353,-184997,-$0.47
25,BMU,Bermuda,63918,,$0.00
26,BOL,Bolivia,11513100,-84449,-$0.01
27,BRA,Brazil,211049527,37952647,$0.18
28,BRB,Barbados,287025,0,$0.00
29,BRN,Brunei Darussalam,433285,,$0.00
30,BTN,Bhutan,763092,,$0.00
31,BWA,Botswana,2303697,29299050,$12.72
32,CAF,Central African Republic,4745185,21359018,$4.50
33,CAN,Canada,37589262,10785716,$0.29
34,CEB,Central Europe and the Baltics,102378579,,$0.00
35,CHE,Switzerland,8574832,,$0.00
36,CHI,Channel Islands,172259,,$0.00
37,CHL,Chile,18952038,4868611,$0.26
38,CHN,China,1397715000,16504201,$0.01
39,CIV,Cote d'Ivoire,25716544,64959096,$2.53
40,CMR,Cameroon,25876380,50144896,$1.94
41,COD,"Congo, Dem. Rep.",86790567,402717515,$4.64
42,COG,"Congo, Rep.",5380508,537836,$0.10
43,COL,Colombia,50339443,320498281,$6.37
